,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1050-1099,1631円,125分,101.7%,25件
1,1100-1149,1846円,117分,102.1%,34件
2,1150-1199,3728円,126分,103.9%,29件
3,1200-1249,3764円,119分,104.2%,54件
4,1250-1299,4356円,107分,105.4%,48件
5,1300-1349,3296円,112分,103.9%,48件
6,1350-1399,2398円,105分,103.1%,54件
7,1400-1449,4719円,102分,106.2%,75件
8,1450-1499,5428円,100分,107.3%,62件
9,1500-1549,3938円,102分,105.2%,61件
10,1550-1599,2976円,92分,104.3%,64件
11,1600-1649,3591円,90分,105.3%,59件
12,1650-1699,4633円,92分,106.7%,72件
13,1700-1749,5021円,88分,107.6%,56件
14,1750-1799,3607円,81分,105.9%,73件
15,1800-1849,4249円,81分,107%,67件
16,1850-1899,4919円,74分,108.8%,58件
17,1900-1949,5219円,72分,109.7%,77件
18,1950-1999,5982円,73分,111%,79件
19,2000-2049,4054円,66分,108.2%,64件
20,2050-2099,6022円,64分,112.5%,81件
21,2100-2149,5277円,64分,111%,82件
22,2150-2199,4327円,57分,110%,69件
23,2200-2249,5932円,53分,114.8%,69件
24,2250-2299,5630円,54分,114%,67件
25,2300-2349,5642円,49分,115.5%,73件
26,2350-2399,6542円,44分,119.7%,48件
27,2400-2449,5041円,46分,114.7%,50件
28,2450-2499,5134円,46分,114.8%,54件
29,2500-2549,7329円,39分,124.8%,48件
30,2550-2599,8637円,35分,133.3%,29件
31,2600-2649,8936円,35分,134%,42件
32,2650-2699,8144円,35分,131.2%,36件
33,2700-2749,9066円,33分,136.2%,41件
34,2750-2799,9614円,33分,139.3%,48件
35,2800-2849,11454円,27分,156%,34件
36,2850-2899,12147円,25分,164.8%,25件
37,2900-2949,13352円,23分,177.9%,40件
