,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,5483円,103分,107.1%,101件
1,1550-1599,6642円,99分,108.9%,99件
2,1600-1649,7093円,94分,110%,126件
3,1650-1699,7289円,94分,110.4%,107件
4,1700-1749,7938円,94分,111.3%,116件
5,1750-1799,8328円,91分,112.2%,103件
6,1800-1849,7214円,85分,111.3%,90件
7,1850-1899,7522円,81分,112.5%,126件
8,1900-1949,7011円,77分,112.2%,115件
9,1950-1999,6358円,76分,111.1%,103件
10,2000-2049,9052円,70分,117.1%,107件
11,2050-2099,6644円,68分,113%,75件
12,2100-2149,6356円,66分,112.8%,87件
13,2150-2199,7403円,65分,115.2%,68件
14,2200-2249,7292円,60分,116.2%,70件
15,2250-2299,7262円,54分,118.1%,73件
16,2300-2349,8868円,49分,124.1%,76件
17,2350-2399,8446円,46分,124.5%,61件
18,2400-2449,7370円,47分,120.7%,63件
19,2450-2499,8754円,45分,125.8%,67件
20,2500-2549,8641円,44分,126.5%,56件
21,2550-2599,9145円,43分,128.5%,68件
22,2600-2649,9122円,44分,127.9%,62件
23,2650-2699,10291円,38分,136.3%,53件
24,2700-2749,11507円,36分,143.1%,47件
25,2750-2799,11546円,32分,147.9%,44件
26,2800-2849,13129円,29分,160.8%,46件
27,2850-2899,13914円,29分,165.1%,59件
28,2900-2949,14679円,24分,180.6%,52件
